2023-01-19 15:16 DEBUG Starting new HTTPS connection (1): api.binance.com:443
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575440700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575500700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575560700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575620700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575680700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575740700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575800700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575860700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575920700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1575980700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576040700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576100700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576160700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576220700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576280700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576340700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576400700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576460700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576520700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576580700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576640700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576700700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576760700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576820700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576880700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1576940700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577000700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577060700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577120700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577180700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577240700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577300700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577360700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577420700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577480700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577540700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577600700000&symbol=ETHUSDT HTTP/1.1" 200 None
2023-01-19 15:16 DEBUG https://fapi.binance.com:443 "GET /fapi/v1/klines?endTime=1674112620000&interval=1m&limit=1000&startTime=1577660700000&symbol=ETHUSDT HTTP/1.1" 200 None
